Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-02-16,The Ritual,2017,https://boxd.it/fo0I,3.0,David Bruckner 2,canada,"['mystery', 'thriller', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",mystery,113018,7,3.21
2019-02-16,Paranormal Activity,2007,https://boxd.it/1yIM,3.5,Oren Peli 1,usa,"['mystery', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",mystery,133240,6,2.87
2019-02-16,Sinister,2012,https://boxd.it/2TnW,3.0,Scott Derrickson,canada,"['thriller', 'mystery', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression', 'Thrillers and murder mysteries']",thriller,152889,6,3.29
2019-02-16,Audition,1999,https://boxd.it/1UHm,4.0,Takashi Miike,japan,"['horror', 'drama', 'thriller', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,85166,7,3.8
2019-02-16,Drag Me to Hell,2009,https://boxd.it/1Jzw,2.5,Sam Raimi,usa,"['thriller', 'horror']","['Horror, the undead and monster classics']",thriller,98265,9,3.22
2019-02-16,Oculus,2013,https://boxd.it/4W9M,2.5,Mike Flanagan,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,68649,9,3.19
2019-02-16,The Woman in Black,2012,https://boxd.it/4wu,2.5,James Watkins,canada,"['horror', 'drama', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,72434,6,2.88
2019-02-16,The Omen,1976,https://boxd.it/29By,4.0,Richard Donner,uk,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Faith and religion']",thriller,63393,7,3.63
2019-02-16,Mama,2013,https://boxd.it/4i9s,3.0,Andy Muschietti,canada,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,74109,6,2.73
2019-02-16,Orphan,2009,https://boxd.it/1CgM,3.5,Jaume Collet Serra,canada,"['mystery', 'thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",mystery,139568,7,3.33
2019-02-16,Saw II,2005,https://boxd.it/2aRs,3.0,Darren Lynn Bousman,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression', 'Thrillers and murder mysteries']",horror,114915,6,3.07
2019-02-16,Christine,1983,https://boxd.it/1ZRQ,4.0,John Carpenter,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,62039,7,3.46
2019-02-16,The Strangers,2008,https://boxd.it/1VGY,4.0,Bryan Bertino,usa,"['mystery', 'thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",mystery,80266,4,3.03
2019-02-16,1408,2007,https://boxd.it/25Vu,3.0,Mikael Hafstrom,usa,"['horror', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,67766,8,3.16
